Discord Username,Summoner IGN,Pos,Team Name,Rank Score,Stated Rank,True Peak Rank,Peak Ego Rank,Current Ego Rank,S2024 S3 Peak,S2024 S2 Peak,S2024 S1 Peak,S2023 S2 Peak,S2023 S1 Peak,Twitch Stream
Xeuhktal,Xeuhktal#NA1,TOP,WOW,16,Diamond 4,Master 10 LP,,,,Master 10 LP,Master 0 LP,Diamond 2 14 LP,,
GourmetCookies,BoyHoleBuccaneer#Boom|GourmetCookies#NA1|CutieCookies#NA1,SUP,NC,16,Emerald 1,Master 0 LP,,Diamond 4 5 LP,,,Diamond 4 31 LP,Master 0 LP,,
akudame_ikumika,Akudame Ikumika#NA1,JGL,,16,Diamond 2,Diamond 1 27 LP,Diamond 1 27 LP,Diamond 2 8 LP,,,,,Diamond 3 21 LP,?
kessler_kora,Kessler#KORA|Kessler#NA3,MID,GT,16,Emerald 4,Master 47 LP,,,,,Diamond 3 48 LP,Master 47 LP,,
catinatin,Happiercat477#NA1|ErisTheExile#NA1|A cat isfine too#7861,MID,WOW,17,Emerald 2,Diamond 2 13 LP,Emerald 2 90 LP,,,Diamond 2 13 LP,Diamond 4 6 LP,,,Twitch Link
Mcfasho,MCFasho#NA1|shi8shekki#NA1|choMEANIE#MEAN|Later2That#NA1,JGL,o7,17,Emerald 2,Diamond 3 7 LP,,,,Diamond 3 7 LP,Diamond 4 1 LP,Emerald 1 14 LP,,Twitch Link
w0ld,Death#March|Wullinave#NA1,SUP,WOW,17,Emerald 1,Diamond 2 6 LP,,,,Diamond 2 6 LP,Diamond 3 0 LP,,Diamond 3 0 LP,
gziemiyo,AcidStep#NA1|StepAcid#NA1,MID|JGL,LKMT,17,Diamond 1,Diamond 2 63 LP,Diamond 4 57 LP,Diamond 4 53 LP,,Diamond 2 63 LP,,,,
Kuroaf,Kuroaf#NA1,JGL|TOP,FF,18,Diamond 3,Diamond 4 22 LP,Diamond 4 0 LP,,,Emerald 1 75 LP,Diamond 4 22 LP,,,
benjamminlol,Top Tower#NA1,TOP,LEG,18,Diamond 4,Diamond 3 14 LP,Diamond 3 14 LP,,,,Diamond 4 37 LP,,,
kristangent.,6 foot 1  Jacked#Gojo|KrisPlaysKled#HXH,JGL,SI,18,Diamond 1,Diamond 2 9 LP,Emerald 1 30 LP,,,Diamond 2 9 LP,,Emerald 2 11 LP,,
Luytenn,Luyten#NA1,BOT,GF,18,Emerald 3,Diamond 4 24 LP,Emerald 3 81 LP,Emerald 3 81 LP,,Diamond 4 24 LP,,,,
ookami_mio,Gawr Goomba#shark|Firaga10101#NA1,TOP,SMA,18,Emerald 1,Diamond 2 0 LP,,,,,,Diamond 4 32 LP,Diamond 3 26 LP,Twitch Link
asadbanana,Banana#54010|I AM RΕBIRDED#TISM|MeanQueen42#NA1,TOP,NC,18,Diamond 3,Diamond 3 65 LP,Diamond 3 65 LP,Diamond 4 73 LP,,Diamond 4 0 LP,,,,
.f_g.,vowels#aeiou,TOP|MID|SUP,o7,18,Emerald 2,Diamond 4 0 LP,Emerald 2 27 LP,,,Diamond 4 0 LP,,Diamond 4 0 LP,,
yushuYoshi,Yoshi#Yushu,TOP,AWB,18,Diamond 3,Diamond 2 0 LP,Diamond 4 37 LP,,,,Diamond 2 0 LP,Diamond 4 1 LP,,
xbalmer,Balmer#024,BOT,LKMT,18,Emerald 1,Diamond 3 0 LP,,,,Diamond 4 30 LP,Diamond 4 1 LP,,Diamond 3 0 LP,
Epicphail2,OshaInspector#OSH,JGL,MBR,19,Gold 1-4,Emerald 4 90 LP,,,,Emerald 4 2 LP,Emerald 4 90 LP,,,
