Discord Username,Summoner IGN,Pos,Team Name,Rank Score,Stated Rank,True Peak Rank,Peak Ego Rank,Current Ego Rank,S2024 S3 Peak,S2024 S2 Peak,S2024 S1 Peak,S2023 S2 Peak,S2023 S1 Peak,Twitch Stream
me.pp,PingSpam#NA1,BOT,V8,9,Diamond 2,Master 117 LP,Diamond 2 53 LP,Diamond 2 53 LP,Master 8 LP,Master 117 LP,,,,
billy5832,BILLYBILLYBILLY#FATAF,JGL,NC,10,Diamond 2,Master 393 LP,Diamond 2 89 LP,Diamond 2 89 LP,Master 116 LP,Master 393 LP,Diamond 1,Master 341 LP,,Twitch Stream
Stl_Slayer_24,Stl Slayer 24#NA2|Boyrider#fmboy,BOT,GT,10,Master,Master 108 LP,Diamond 4 55 LP,Diamond 4 55 LP,Master 19 LP,Diamond 4,Diamond 1,Emerald 1,Master 108 LP,Twitch Stream
thespecial1,TouchVigor#NA1,JGL,V8,11,Diamond 3,Master 119 LP,Diamond 2 18 LP,Diamond 2 18 LP,Diamond 1,Master 17 LP,Master 80 LP,Master 119 LP,,Twitch Stream
Ticofighter47,ticofighter#NA1|Tico#TAHM,TOP,SI,11,Master,Grandmaster 722 LP,Diamond 4 15 LP,Diamond 4 15 LP,Master 189 LP,Master 19 LP,Grandmaster 722 LP,Grandmaster 310 LP,Master 102 LP,
Pyrosi,Lost in a river#NA1|Pyrosis#NA1|CuteLittleSiren#NA1|BabyBlankers#NA1,MID,SI,12,Master,Master 178 LP,Diamond 4 56 LP,Diamond 4 56 LP,Diamond 2,Master 33 LP,Master 18 LP,Master 178 LP,Diamond 1,
Ponygafo,Pony#gafo,SUP,FF,12,Diamond 4,Diamond 4,,,Emerald 1,Diamond 4,Emerald 1,Emerald 2,Diamond 4,
eeleeyas,Xiaolong#eelee|isoldes boytoy#meow,JGL,GT,13,Master,Master 102 LP,Diamond 3 53 LP,Diamond 3 53 LP,Diamond 2,Master 102 LP,Master 102 LP,Diamond 2,,
Iateyosushi,hackzorzzzz#NA1|Bengar#6969|UNC is Gapped#LUL|WATCH ME PLAYING#NA2,JGL|TOP,MDFC,13,Diamond 3,Master 350 LP,Emerald 2 13 LP,Emerald 2 13 LP,Diamond 3,Master 350 LP,Master 32 LP,Gold 4,,
yeetyoteyate,YeetYoteYate#NA1|YeetYoteTop#NA1|YeetYoteADC#3790|YeetYoteJungle#NAJng|YeetYoteMid#Mid,MID,MBR,13,Diamond 3,Master 182 LP,Emerald 2 20 LP,Emerald 2 20 LP,Diamond 3,Master 58 LP,Master 182 LP,Diamond 3,Platinum 1,
chubbydumpling,CARPETBOMBCORKI#NA1,SUP,GT,14,Platinum 1-4,Diamond 4,Platinum 1 7 LP,Platinum 1 7 LP,Platinum 1,Emerald 4,Emerald 2,Diamond 4,Platinum 4,Twitch Stream
_hyperdragon,Hyperdragon#Ellie,JGL,WOW,14,Diamond 3,Master 129 LP,Emerald 1 36 LP,Emerald 1 36 LP,Diamond 3,Diamond 1,Diamond 1,Master 129 LP,Diamond 3,
jayrich1101,PeepaTheHound#Molly|Doublethink#Orew|GeppettosPuppet#3671|PositiveEV#1111|Winston The Pooh#Win|ZUPER ZA1YAN#NA1,BOT,MDFC,14,Diamond 3,Diamond 3,Diamond 3 34 LP,Diamond 3 34 LP,Diamond 4,Diamond 3,Emerald 1,Emerald 3,Gold 1,
ifearnobody,I fear nobody#NA1,JGL,LEG,14,Diamond 3,Master 41 LP,Diamond 3 11 LP,Diamond 3 11 LP,Diamond 3,Diamond 1,Diamond 1,Diamond 1,Master 41 LP,
bluewu.,Blue#UU70|Blue#TUHG|scoutcasey#NA2|Dr Albert Beck#Doc|Midbeastfeetpics#daddy,MID,MDFC,14,Diamond 2,Master 15 LP,Emerald 2 66 LP,Emerald 2 66 LP,Diamond 2,Master 15 LP,Emerald 1,Diamond 3,Diamond 1,
ffsfruit,NAQI#crack,MID,GF,15,Diamond 4,Master 18 LP,Diamond 4 0 LP,Diamond 4 0 LP,Diamond 2,Master 18 LP,Diamond 1,Diamond 2,Diamond 4,
DavidEdge,DavidEdge#NA1,SUP,SI,15,Diamond 2,Diamond 2,,,Diamond 4,Diamond 4,Diamond 2,Emerald 2,Gold 3,
hwasal06,SEXWOMY#NA1|kappachungus#akm|Hwasal#xdd,MID,o7,15,Diamond 1,Diamond 1,Emerald 3 32 LP,Emerald 3 32 LP,Diamond 2,Diamond 1,Diamond 2,Diamond 2,Gold 2,
Xeuhktal,Xeuhktal#NA1,TOP,WOW,16,Diamond 4,Master 146 LP,Emerald 4 76 LP,Emerald 4 76 LP,Diamond 2,Master 146 LP,Master 1 LP,Diamond 1,Diamond 1,
GourmetCookies,BoyHoleBuccaneer#Boom|GourmetCookies#NA1|CutieCookies#NA1,SUP,NC,16,Emerald 1,Master 239 LP,Emerald 3 45 LP,Emerald 3 45 LP,Diamond 4,Emerald 2,Master 239 LP,Master 1 LP,Diamond 2,
akudame_ikumika,Akudame Ikumika#NA1,JGL,,16,Diamond 2,Diamond 1 27 LP,Diamond 1 27 LP,Diamond 2 8 LP,,,,,Diamond 3 21 LP,?
kessler_kora,Kessler#KORA|Kessler#NA3,MID,GT,16,Emerald 4,Master 123 LP,Master 0 LP,Master 0 LP,Emerald 3,Diamond 4,Master 27 LP,Master 123 LP,Diamond 1,
catinatin,Happiercat477#NA1|ErisTheExile#NA1|A cat isfine too#7861,MID,WOW,17,Emerald 2,Diamond 1,Diamond 3 9 LP,Diamond 3 9 LP,Emerald 1,Diamond 1,Diamond 3,Emerald 1,Platinum 4,Twitch Link
