Discord Username,Summoner IGN,Pos,Team Name,Rank Score,Stated Rank,True Peak Rank,Peak Ego Rank,Current Ego Rank,S2024 S3 Peak,S2024 S2 Peak,S2024 S1 Peak,S2023 S2 Peak,S2023 S1 Peak,Twitch Stream
shadowpoga,Domina Luminis#NA1|ShadowPoga#NA1,BOT,SI,23,Emerald 3,Diamond 3,Emerald 4 45 LP,Emerald 4 45 LP,Emerald 2,Diamond 4,Diamond 3,Diamond 4,Platinum 1,
superchicken.,SuperChicken#0123,JGL,o7,24,Emerald 4,Diamond 4,Emerald 4 79 LP,Emerald 4 79 LP,Emerald 1,Diamond 4,Emerald 4,Platinum 1,Gold 3,
.monsuno,saw#fast,TOP,,24,Emerald 4,Emerald 3 32 LP,Emerald 4 82 LP,,,Emerald 3 16 LP,Emerald 3 32 LP,,,LEFT
mrlizwiz,BronzeCena#Blind,TOP,FF,24,Platinum 1-4,Platinum 3,,,Platinum 4,Platinum 3,Platinum 3,Gold 2,Silver 2,
slaveknightkos,SlaveKnightKos#Kos,MID,PP,24,Emerald 3,Emerald 3,Emerald 4 20 LP,Emerald 4 20 LP,Emerald 3,Platinum 1,Platinum 4,Silver 3,Bronze 4,
ausxh,Sukiha#owo|LΆustin Select#NA2,BOT|SUP,WOW,25,Emerald 3,Emerald 1,Platinum 3 56 LP,Platinum 3 56 LP,Emerald 3,Emerald 2,Emerald 1,Emerald 2,Platinum 3,
aapathyy,Ouroboros#Train|Ouroboros#Climb,MID,,25,Platinum 1-4,Emerald 3 15 LP,Emerald 4 51 LP,,,Emerald 4 60 LP,Emerald 3 15 LP,,,?
amuchu,Amuchu#NA1,SUP,,25,Platinum 1-4,Emerald 2 4 LP,Emerald 4 9 LP,Emerald 4 25 LP,,,Emerald 2 4 LP,,,LEFT
baomatrix,BioMatrix#EmiQT,BOT,NC,25,Emerald 3,,,,,,,,,Twitch Stream
MajinHollow,MajinHollow#Vayne|Indignified#NA1,BOT|MID,MBR,26,Platinum 1-4,Emerald 3,Emerald 4 0 LP,Emerald 4 0 LP,Platinum 1,Emerald 4,Emerald 3,Emerald 3,Gold 4,
recoveringschizo,evilpancakekitty#meow,JGL|MID,AWB,26,Gold 1-4,Diamond 3,Platinum 4 9 LP,Platinum 4 9 LP,Emerald 1,Platinum 1,Emerald 1,Diamond 3,Platinum 3,
Jerboas,Dan Smith#KLLR7|James Sunderland#KLLR7,SUP,V8,26,Platinum 1-4,Emerald 3,Emerald 4 0 LP,Emerald 4 0 LP,Emerald 4,Emerald 3,Emerald 4,Platinum 4,Gold 2,
blizzardbear101,Harry Patterson#Fin,MID,TWO,26,Emerald 4,Emerald 3,Emerald 3 22 LP,Emerald 3 22 LP,Emerald 4,Emerald 3,Emerald 3,Emerald 4,Gold 3,
Promech,Promech#NA1,TOP|MID,AWB,26,Platinum 1-4,Emerald 3,Platinum 2 66 LP,Platinum 2 66 LP,Platinum 1,Platinum 2,Emerald 3,Emerald 4,Gold 2,
seagullslayer7,seagullslayer7#NA1,JGL,GT,26,Emerald 4,Emerald 4,Gold 4 99 LP,Gold 4 99 LP,Emerald 4,Platinum 2,Emerald 4,Emerald 4,Gold 4,
_aly39_,AlyXO#3976|AlyXOXO#NA1|AlyXO#NA2,MID|SUP,TWO,26,Platinum 1-4,Emerald 3,Gold 3 80 LP,Gold 3 80 LP,Platinum 4,Emerald 3,Emerald 3,Emerald 3,,Twitch Link
BirdP3Rson,BirdP3Rson#37114|Li Lwhiteotisto#7265,BOT,FF,26,Platinum 1-4,Emerald 1,Gold 4 40 LP,Gold 4 40 LP,Platinum 4,Emerald 4,Emerald 4,Emerald 1,Silver 1,
sigilofaletheia,SigilOfAletheia#NA1,SUP|JGL,GF,26,Platinum 1-4,Emerald 1,Platinum 2 81 LP,Platinum 2 81 LP,Platinum 2,Emerald 4,Emerald 2,Emerald 1,Platinum 2,
austinsilva,Bound#WVU1,SUP|TOP,LEG,27,Emerald 4,Emerald 4,,,Emerald 4,Gold 4,Platinum 4,Platinum 1,Silver 1,
